STATE,EFSVIUDM,EWSIUD,SIUD,ERSUD,SUD,SV,S,V,I,U,D,M
express-from,EWSIUD,,,,,,,,,,,
express-where,,ERSUD,,,,,,,,,,
express-return,,,,SUD,,,,,,,,
l,M,,,,,,,,,,,M
raw,M,,,,,,,,,,,M
with,SIUD,SIUD,SIUD,SUD,SUD,S,S,,I,U,D,
from,SIUD,SIUD,SIUD,SUD,SUD,S,S,,I,U,D,
return,SIUD,SIUD,SUD,SUD,SUD,S,S,,I,U,D,
where,SUD,SUD,SUD,SUD,SUD,S,S,,,U,D,
order,SV,S,S,S,S,SV,S,,,,,
limit,SV,S,S,S,S,SV,S,,,,,
offset,SV,S,S,S,S,SV,S,,,,,
group,S,S,S,S,S,S,S,,,,,
having,S,S,S,S,S,S,S,,,,,
insert,I,I,I,,,,,,I,,,
values,V,,,,,V,,V,,,,
set,U,U,U,U,U,,,,,U,,
delete,D,D,D,D,D,,,,,,D,